stadium_id,stadium_name,city,field_type,country_name
211,OLVEGA El Moral,Ólvega,"Hierba Natural Árbitro: BALONGO ARROYO, JESUS",
321,ACTUR-C.M.F.,Zaragoza,"Hierba Artificial Árbitro: RODRIGUEZ BAILO, ALVARO",
355,RICLA-Luis Gil Val,Ricla,"Hierba Artificial Árbitro: MIR GIMENEZ, CARLOS",
356,RIVAS-San Victorian,El Pueyo de Araguás,"Hierba Natural Árbitro: MUÑOZ CHUPS, ALBERTO",
377,SANTA ISABEL-César Lainez-C.M.F.,Madrid,"Hierba Artificial Árbitro: FORTEA LAGUNA, VICTOR",
387,TARAZONA-Pol.Municipal,Tarazona,"Hierba Artificial Árbitro: PEREZ BERNA, VICTOR",
388,TAUSTE-Las Rozas,Tauste,"Hierba Artificial Árbitro: GIMENO BARRABES, ALEJANDRO",
393,TERUEL- Pinilla,Teruel,"Hierba Natural Árbitro: PAVON GAYAN, MANUEL",
400,UTEBO Santa Ana,Ermua,"Hierba Artificial Árbitro: FUENTES SUILS, DIEGO",
30124,CAMP MUNICIPAL LOS PINOS D' ALAIOR F11,Alaior,"CESPED ARTIFICIAL Árbitro: RODRIGUEZ MARQUES, PEDRO MANUEL",
30141,ALARO F-11,Alaró,"CESPED ARTIFICIAL Árbitro: MARTINEZ CABALLERO, JAVIER",
30142,ALCUDIA F-11,Alcúdia,"CESPED ARTIFICIAL Árbitro: ALONSO MARTORELL, HUGO",
30146,CAMP MUNICIPAL SA PLANA ( Andratx) F-11,Andratx,"CESPED ARTIFICIAL Árbitro: MONSERRAT JUAN, MARC",
30159,CAMPOS F-11,Madrid,"CESPED ARTIFICIAL Árbitro: DIAZ SOTO, LUIS MIGUEL",
30166,CAMP MUN CA NA PAULINA ( Collerense) F-11,Madrid,"CESPED ARTIFICIAL Árbitro: CABELLOS CRUZ, HECTOR",
130430,CAMP MUN SON QUINT ( Esporles) F-11,Esporles,"CESPED ARTIFICIAL Árbitro: GARAU BARCELO, CARLOS",
297033,SON CALIU F-11( campo rugby calvia),Palmanova,"CESPED ARTIFICIAL Árbitro: PARDO SANCHIS, JOSE MANUEL",
130432,ES TORRENTÓ - MARIONA CALDENTEY ( Felanitx) F-11,Felanitx,"CESPED ARTIFICIAL Árbitro: ALEMANY ROMERO, JAVIER",
130441,CAMP MUN ES PUIG (Lloseta) F-11,Lloseta,"CESPED ARTIFICIAL Árbitro: BORREDA GIMENEZ, GONZALO",
130446,POL.M.MAGALUF F-11,Magaluf,"CESPED ARTIFICIAL Árbitro: IBAÑEZ MARTINEZ, SANTIAGO",
130449,NA CAPELLERA (Manacor) F-11,Manacor,"CESPED ARTIFICIAL Árbitro: PACHECO GUIJARRO, JUAN JOSE",
130454,MUN. SON CAULELLAS-CATA COLL F-11,Son Caulelles,"CESPED ARTIFICIAL Árbitro: MAZA CORREA, FRANCISCO",
130459,C.MUN.MOLINAR F-11,Molinar,"CESPED ARTIFICIAL Árbitro: IBAÑEZ MARTINEZ, SANTIAGO",
130474,PORRERES F-11,Porreres,"CESPED ARTIFICIAL Árbitro: MAZA CORREA, FRANCISCO",
130480,RAFAL F-11,Rafal,"CESPED ARTIFICIAL Árbitro: MUÑOZ MENDOZA, MOISES",
130488,SANT JORDI F-11,Sant Jordi,"CESPED ARTIFICIAL Árbitro: LLOFRIU JAUME, SERGIO",
130494,SANTANYI F-11,Santanyí,"CESPED ARTIFICIAL Árbitro: REUS PORRAS, JOAN MIQUEL",
130501,SINEU F-11,Sineu,"CESPED ARTIFICIAL Árbitro: MONSERRAT JUAN, MARC",
130502,S'INDIOTERIA F-11,Palma,"CESPED ARTIFICIAL Árbitro: MORA DOS SANTOS, MARIO JOSE",
130503,SOLLER F-11,Sóller,"CESPED ARTIFICIAL Árbitro: MORENO VALERO, PEDRO JUAN",
130504,SON BIBILONI 1,Palmanyola,"CESPED NATURAL Árbitro: BOUZRATI AARRIM, HAITAM",
130506,SON CLADERA F-11,Palma,"CESPED ARTIFICIAL Árbitro: RODRIGUEZ CHRISTIANSEN, ALEJANDRO",
130508,C.MUN.SON FERRIOL F-11,Son Ferriol,"CESPED ARTIFICIAL Árbitro: MARTINEZ FERNANDEZ, JUAN ALBERTO",
130517,SON SERVERA F-11,Son Servera,"CESPED ARTIFICIAL Árbitro: ONETTO BEVIA, DAVID",
130525,SANT BARTOMEU DE FERRERIES,Ferreries,"CESPED ARTIFICIAL Árbitro: MOLL MOLL, VICTOR",
130527,FORMENTERA,Es Mal Pas,"CESPED ARTIFICIAL Árbitro: TORRES RODRIGUEZ, THIERRY GABRIEL",
130690,CAMP MUNICIPAL SES CANALETES DE SANT LLUIS F11,Sant Lluís,"CESPED ARTIFICIAL Árbitro: MANZANO MARTINEZ, PEDRO JOSE",
130721,CAN CANTO,Ca na Negreta,"CESPED ARTIFICIAL Árbitro: CIFRE SORIA, MIGUEL",
130722,SANTA EULARIA DES RIU,Santa Eulària des Riu,"CESPED ARTIFICIAL Árbitro: VICENS BUJOSA, JOAN",
130730,SANT ANTONI DE PORTMANY,Sant Antoni de Portmany,"CESPED ARTIFICIAL Árbitro: VERDERA ESCANDELL, JORDI",
131255,CAMP MUNICIPAL SAN CARLOS DE MAÓ,Madrid,"CESPED ARTIFICIAL Árbitro: SAURINA LLABRES, DIEGO",
314688,CAMP MUNICIPAL BINTAUFA C2 F11,Madrid,"CESPED ARTIFICIAL Árbitro: PAZ POLONI, MARCOS FACUNDO",
453242,BOLTAÑA Villaboya,Boltaña,"Hierba Natural Árbitro: ESCARTIN LARRAZ, MARIO",
453268,SAN JORGE-Virgen de la Violada,San Jorge,"Árbitro: GOMEZ AFONSO, RUBEN",
462654,EJEA-Ciudad Deportiva,Ejea de los Caballeros,"Hierba Natural Árbitro: PARIS GIMENO, ALVARO",
474483,EL OLIVAR-Campo 2,El Olivar,"Hierba Artificial Árbitro: MEDEL VICENTE, JAVIER",
580538,DELICIAS (Antiguo C.E. Pignatelli)-C.M.F.,Madrid,"Hierba Artificial Árbitro: LANGA GARCIA, CARLOS",
644569,CASETAS San Miguel 2,Zaragoza,"Hierba Artificial Árbitro: APARICIO GARCIA , YAGO",
10,ALCORISA José Roca,Alcorisa,"Hierba Natural Árbitro: LITIM DRIOUCHE, MOUAD",
719186,EJEA-Ciudad Deportiva E.M. Artificial,Ejea de los Caballeros,"Hierba Artificial Árbitro: GARCIA REYES, IGNACIO",
130466,CAMP NA CAPITANA ( Petra) F-11,Petra,"CESPED ARTIFICIAL Árbitro: REYNES CORONADO, MIGUEL ANGEL",
130510,SON FUSTER 2 F-11,Palma,"CESPED ARTIFICIAL Árbitro: ALEMANY ROMERO, JAVIER",
555928100,Nou Estadi Costa Daurada,Tarragona,Hierba Natural,
868269041,Estadi Municipal Nova Creu Alta,Sabadell,Hierba Natural,
557238002,Estadio Municipal El Pozuelo,Torremolinos,Hierba Natural,
973436247,Estadio José Rico Pérez,Alicante,Hierba Natural,
575983932,Campo Pinilla,Teruel,Hierba Natural,
708662326,Nuevo Estadio El Maulí,Antequera,Hierba Natural,
650771265,Estadio Atlético de Madrid CD Alcalá de Henares,Alcalá De Henares,Hierba Natural,
259761407,Dama de Noche Football,Marbella,Banús Football Center - Hierba Natural,
97990312,Ciudad Deportiva Luis del Sol,Sevilla,Hierba Natural,
264553622,Estadio Municipal Cartagonova,Cartagena,Hierba Natural,
74017486,Nuevo Estadio Pepico Amat,Elda,,
500812732,Estadio Municipal Santo Domingo,Alcorcón,Hierba Natural,
282572373,Nou Sardenya,Barcelona,Hierba Artificial,
490658533,Polideportivo Municipal Tarazona,Tarazona,Hierba Artificial,
666247416,Estadio Municipal Nuevo Mirador,Algeciras,Hierba Natural,
570368421,Estadio Nueva Condomina,Murcia,Hierba Natural,
256138385,Estadio El Palmar -,Cádiz,,
296015938,Estadio Municipal La Bóbila,Gavà,Hierba Natural,
594554120,Estadio Can Dragó,Barcelona,Hierba Natural,
30151,SES PESQUERES (Artá) F-11,Artà,"CESPED ARTIFICIAL Árbitro: ALONSO MARTORELL, HUGO",
30169,ES PORTIXOL F-11,Port de Sant Miquel,"CESPED ARTIFICIAL Árbitro: AGUILAR ILLAS, CARLOS",
50266,San Miguel - Azuqueca,Azuqueca de Henares,"CESPED ARTIFICIAL Árbitro: GARCIA CARPINTERO, ALVARO",
50315,Municipal - Illescas,Illescas,"CESPED ARTIFICIAL Árbitro: PALENCIA CERDEÑO, CARLOS",
130473,POL.MUN.POLLENÇA F-11,Pollença,"CESPED ARTIFICIAL Árbitro: ARANDA ROSA, FRANCISCO JAVIER",
50329,Las Delicias - Mora,Mora,"CESPED ARTIFICIAL Árbitro: TARJUELO QUIJORNA, RAUL",
50337,El Arroyo - Toledo,Toledo,"CESPED ARTIFICIAL Árbitro: TOUIL MEGROUDA, AZEDDINE",
61015,Martín Juanes - Sonseca,Sonseca,"CESPED ARTIFICIAL Árbitro: LANCHA SANCHEZ, ADRIAN",
61477,"Campo de Fútbol ""Evelio Martínez"" del Complejo Dptvo. Municipal - Almansa (ARTIFICIAL))",Almansa,"CESPED ARTIFICIAL Árbitro: PEREZ SANCHEZ, PABLO",
66719,Salto Caballo (Anexo Paulino Lorenzo) - Toledo,Toledo,"CESPED ARTIFICIAL Árbitro: LARA BARROSO, DIEGO",
66776,Sánchez Menor (anexo 1) - Puertollano,Puertollano,"CESPED ARTIFICIAL Árbitro: DIAZ DE MERA ESCUDEROS, PEDRO",
130438,POL.M.SA POBLA F-11,Palma,"CESPED ARTIFICIAL Árbitro: ORTIZ ESCARRER, FRANCISCO",
130443,LLUCMAJOR F-11,Llucmajor,"CESPED ARTIFICIAL Árbitro: MONTERO CLADERA, ADRIAN",
130455,MIGUEL NADAL F-11,Madrid,"CESPED ARTIFICIAL Árbitro: RAYO LLINAS, LLORENÇ",
130457,CAMP ES REVOLT ( Montuiri) F-11,Montuïri,"CESPED ARTIFICIAL Árbitro: ALEMANY ROMERO, JAVIER",
206829,Municipal Villacampa - Alameda de la Sagra,Alameda de la Sagra,"CESPED ARTIFICIAL Árbitro: LARA BARROSO, DIEGO",
130470,C.M TONI TATXA F-11,Palma,"CESPED ARTIFICIAL Árbitro: RODRIGUEZ CHRISTIANSEN, ALEJANDRO",
130475,CAMPO SES COMES ( P. Cristo) F-11,Madrid,"CESPED ARTIFICIAL Árbitro: FLAQUER REY, GABRIEL",
130476,PORT DE POLLENÇA F-11,Port de Pollença,"CESPED ARTIFICIAL Árbitro: HARO RODRIGUEZ, LUIS",
130484,MELISA NICOLAU ( S'arracó),S'Arracó,"CESPED ARTIFICIAL Árbitro: GUASCH MIR, DAVID",
130509,SON FUSTER 1 F-11,Palma,"CESPED ARTIFICIAL Árbitro: LOPEZ DEL AMO FRANCO, ANGEL",
130511,SON MALFERIT F-11,Palma,"CESPED ARTIFICIAL Árbitro: RAYO LLINAS, LLORENÇ",
130514,POL SON MOIX F-11,Pol,"CESPED ARTIFICIAL Árbitro: SUAU GUAL, EMILKAR DUBIER",
130515,SON SARDINA F-11,Son Sardina,"CESPED ARTIFICIAL Árbitro: ROMERA OLIVER, JORGE",
130522,ES MOLÍ NOU(VILAFRANCA )F-11,Vilafranca de Bonany,"CESPED ARTIFICIAL Árbitro: ALONSO MARTORELL, HUGO",
130524,ESTADI MAONÉS DE MAÓ,Maó,"CESPED ARTIFICIAL Árbitro: MANZANO MARTINEZ, PEDRO JOSE",
130526,CAMP MUNICIPAL D'ES CASTELL F11,Es Castell,"CESPED ARTIFICIAL Árbitro: PONS PRIETO, JOAN",
130697,SON MARÇAL DE CIUTADELLA,Ciutadella,"CESPED ARTIFICIAL Árbitro: PONS PRIETO, JOAN",
130723,NTRA. SRA. DE JESUS,Jesús,"CESPED ARTIFICIAL Árbitro: PACHECO GUIJARRO, JUAN JOSE",
130724,PUIG D'EN VALLS,Puig d'en Valls,"CESPED ARTIFICIAL Árbitro: PACHECO GUIJARRO, JUAN JOSE",
130725,SANT CARLES DE PERALTA F-11,Sant Carles de Peralta,"CESPED ARTIFICIAL Árbitro: SORIANO JUAN, BERNARDO ADRIAN",
130726,SANTA GERTRUDIS DE FRUITERA,Santa Gertrudis de Fruitera,"CESPED ARTIFICIAL Árbitro: TORRES SALA, ADRIAN",
130727,SANT JOSEP DE SA TALAIA,Sant Josep de sa Talaia,"CESPED ARTIFICIAL Árbitro: TUR SILVERIO, MIQUEL",
130728,C. M. KIKO SERRA,Madrid,"CESPED ARTIFICIAL Árbitro: BERNABEU MASCUÑAN, JONATHAN",
130729,SANT AGUSTI DES VEDRA,Sant Agustí des Vedrà,"CESPED ARTIFICIAL Árbitro: HAJ MOUSSA, OUSSAMA",
131258,CAMP MUNICIPAL LAS ARENAS DE FORNELLS,Fornells,"CESPED ARTIFICIAL Árbitro: PAZ POLONI, MARCOS FACUNDO",
173101,Estadio Ciudad Sur - Ciudad Real,Ciudad Real,"CESPED ARTIFICIAL Árbitro: ROMAN GARCIA, FELIPE",
210956,SA POBLA1,A Estrada,"CESPED NATURAL Árbitro: MARTINEZ CABALLERO, JAVIER",
738645,SON BIBILONI 2,Madrid,"CESPED ARTIFICIAL Árbitro: CABELLOS CRUZ, HECTOR",
22715318,AREITIO 3 (HA),Vitoria-Gasteiz,Hierba Artificial,
2084891,Ciudad Deportiva Ebora Formación (Study) - Cazalegas,Talavera de la Reina,"CESPED ARTIFICIAL Árbitro: MAGAN GUDIEL, JUAN CARLOS",
30147,ANTONIANA F-11,Madrid,"CESPED ARTIFICIAL Árbitro: MONSERRAT IBAÑEZ, DANIEL",
2173703,Municipal Fuente de la Niña,Guadalajara,"CESPED ARTIFICIAL Árbitro: PARDOS MATAMOROS, PABLO",
3803686,CAMP DE FUTBOL SOR SERAFINA F-7B,Madrid,"CESPED ARTIFICIAL Árbitro: MARTINEZ CABALLERO, JAVIER",
3226,BOLUE 3,,Hierba Artificial,
609566881,Campos Gaeta Huguet Castellón F-11 Campo B,Les Useres,,
23218938,ES PUTXET,Escorca,"CESPED ARTIFICIAL Árbitro: DURBAY GONZALEZ, FRANCISCO",
3195,GOBELA,,Hierba Artificial,
3668,ETXEZURI,,Hierba Artificial,
50311,Campo de Futbol Municipal - Esquivias,Esquivias,"CESPED ARTIFICIAL Árbitro: GARCIA CABAÑAS, MARCOS",
160341,El Tomillar (Nuevo) - Alovera,Alovera,"CESPED ARTIFICIAL Árbitro: LICITRA DI ROSA, GIANPAOLO",
1201797,Municipal Fuente de la Niña (anexo 1),Guadalajara,"CESPED ARTIFICIAL Árbitro: OSORIO MIRA, CARLOS",
50194,Faustino Alvarruiz - Tarazona,Tarazona,"CESPED ARTIFICIAL Árbitro: MARTINEZ PARREÑO, OSCAR",
50200,Virgen de la Caridad - Villarrobledo,Villarrobledo,"HIERBA NATURAL Árbitro: PARDOS MATAMOROS, PABLO",
50216,San José - Sta. Cruz Mudela,Santa Cruz de Mudela,"CESPED ARTIFICIAL Árbitro: AREVALO LEON, FELIPE",
50226,Municipal - Bolaños,Bolaños,"CESPED ARTIFICIAL Árbitro: RAMIREZ SANTOS, CARLOS",
50228,Municipal - Torrenueva,Torrenueva,"CESPED ARTIFICIAL Árbitro: AREVALO LEON, FELIPE",
50232,El Ejido de Las Casas (Ciudad Real),Ciudad Real,"CESPED ARTIFICIAL Árbitro: ALMODOVAR PEREZ, ALEJANDRO DOMINGO",
50233,Candelario L. Rivas - Miguelturra,Miguelturra,"CESPED ARTIFICIAL Árbitro: MASSAT BOUZAHAR, MOHAMED",
50235,Ptvo. Municipal Manuel Delgado Meco A - Alcázar San Juan,Alcázar de San Juan,"CESPED ARTIFICIAL Árbitro: LOPEZ DE LOS MOZOS DONATE, FERNANDO",
50239,Felix Barrero - Malagón,Malagón,"CESPED ARTIFICIAL Árbitro: GARCIA DE LA GALANA LORO, VICTOR",
50251,Joaquín Caparrós - Cuenca,Cuenca,"CESPED ARTIFICIAL Árbitro: CARRASCO HERVAS, SAMUEL",
50255,Municipal - El Provencio,El Provencio,"CESPED ARTIFICIAL Árbitro: MIGUEL LOPEZ, CARLOS",
50262,Municipal - Las Pedroñeras,Las Pedroñeras,"CESPED ARTIFICIAL Árbitro: GONZALEZ DE ANCOS, ALEJANDRO",
50265,Jerónimo Morena - Guadalajara,Guadalajara,"CESPED ARTIFICIAL Árbitro: PRICOPI GOGU, SEBASTIAN ROBERTO",
50267,La Solana - Marchamalo,Marchamalo,"CESPED ARTIFICIAL Árbitro: OSORIO MIRA, CARLOS",
50296,Municipal Ramiro Almendros - Cabanillas Campo,Cabanillas del Campo,"CESPED ARTIFICIAL Árbitro: VALENZUELA VICENTE, JORGE",
50299,Salto del Caballo - Toledo,Toledo,"HIERBA NATURAL Árbitro: DIAZ-PORTALES RUIZ, MIGUEL",
50327,MUNICIPAL DE CALERA,Madrid,"CESPED ARTIFICIAL Árbitro: CORRAL GARCIA, ALVARO",
208409,Ciudad de Puertollano,Puertollano,"HIERBA NATURAL Árbitro: MIGUEL LOPEZ, CARLOS",
50330,San Francisco - Torrijos,Torrijos,"CESPED ARTIFICIAL Árbitro: TORRES LOBATO, ALONSO",
61005,Rodrigo Navarro - Argés,Argés,"CESPED ARTIFICIAL Árbitro: MIGUEL LOPEZ, CARLOS",
61011,El Prado - Villaluenga,Villaluenga de la Sagra,"CESPED ARTIFICIAL Árbitro: ARIAS JIMENEZ, LUIS MANUEL",
61013,Alejandro González - Fuensalida,Fuensalida,"CESPED ARTIFICIAL Árbitro: BELLAVISTA VAZQUEZ, JAIME",
61016,Las Pirámides - Villacañas,Villacañas,"CESPED ARTIFICIAL Árbitro: MARTINEZ INIESTA, PEDRO J.",
61290,San Marcos - Quintanar del Rey,Quintanar del Rey,"CESPED ARTIFICIAL Árbitro: CARRETERO ANTON, RAUL",
61594,Municipal Carlos Escudero - Mota del Cuervo,Mota del Cuervo,"CESPED ARTIFICIAL Árbitro: MARCOS-ALBERCA LIZCANO, MANUEL",
62146,Ciudad Deportiva Albacete - Andres Iniesta,Albacete,"HIERBA NATURAL Árbitro: GALLEGO RODRIGUEZ, VICTOR MANUEL",
62232,San Isidro - Tarancon,Tarancón,"CESPED ARTIFICIAL Árbitro: PEREZ SANCHEZ, ALBERTO",
62463,Estadio Municipal - Tarancón,Tarancón,"HIERBA NATURAL Árbitro: MASSAT BOUZAHAR, MOHAMED",
62662,Municipal - Balazote,Balazote,"CESPED ARTIFICIAL Árbitro: HUERTAS MONREAL, JOSE ANTONIO",
62677,Ptvo. Municipal - Corral de Almaguer,Corral de Almaguer,"CESPED ARTIFICIAL Árbitro: EL KAJAIRI MAZA, TAREK",
63960,Ciudad Deportiva 2 Albacete - Andres Iniesta,Albacete,"HIERBA NATURAL Árbitro: MARTINEZ CABAÑERO, PABLO",
63972,Ptvo. Juan Carlos I (anexo 2) - C. Real,Ciudad Real,"CESPED ARTIFICIAL Árbitro: LARA FERNANDEZ-INFANTE, CARLOS JAVIER",
64021,Municipal nº 2 - Albacete,Albacete,"CESPED ARTIFICIAL Árbitro: GARCIA ALARCON, JOSE MIGUEL",
64053,Ptvo. Juan Carlos I (anexo 3) - C.Real,Ciudad Real,"CESPED ARTIFICIAL Árbitro: CHAVARRIAS PEREZ, ALVARO",
64119,Larache - C. Real,Ciudad Real,"CESPED ARTIFICIAL Árbitro: AREVALO LEON, FELIPE",
66490,Escuela Gimnasia - Toledo,Toledo,"CESPED ARTIFICIAL Árbitro: MANCEBO GAMITO, AGUSTIN",
67596,Ciudad Deportiva 3 Albacete - Andres Iniesta,Albacete,"CESPED ARTIFICIAL Árbitro: MARTINEZ CAMPOS, ALEJANDRO MANUEL",
67597,Ciudad Deportiva 4 Albacete - Andres Iniesta,Albacete,"CESPED ARTIFICIAL Árbitro: TOLEDO GALINDO, MIGUEL A.",
100124,Municipal nº 3 - Albacete,Albacete,"CESPED ARTIFICIAL Árbitro: MARTINEZ CAMPOS, ALEJANDRO MANUEL",
100236,Ciudad Deportiva - Tomelloso,Tomelloso,"CESPED ARTIFICIAL Árbitro: GALLEGO GORDILLO, FELIPE",
100286,Ciudad Deportiva 5 Albacete - Andres Iniesta,Albacete,"CESPED ARTIFICIAL Árbitro: PICAZO GIL, JOSE MARIA",
103953,La Moheda (anexo) - La Solana,La Solana,"CESPED ARTIFICIAL Árbitro: LARA BARROSO, DIEGO",
104394,Municipal Nuevo Maracañi - La Roda,La Roda,"CESPED ARTIFICIAL Árbitro: NAVARRO MOYA, MARIA",
258215,Campo Paseo de la Cuba,Albacete,"CESPED ARTIFICIAL Árbitro: GOMEZ LINARES, ANDRES",
396806,Municipal San Anton - Villarrobledo,Villarrobledo,"CESPED ARTIFICIAL Árbitro: CHAVARRIAS PEREZ, ALVARO",
761258,Campo Miguel Angel Guerrero - Borox,Borox,"CESPED ARTIFICIAL Árbitro: SAAVEDRA HERRERO, ROBERTO",
80,SAN JOSE-C.M.F. Salma Paralluelo,Madrid,"Hierba Artificial Árbitro: MUÑOZ CHUPS, ALBERTO",
1024509,Obispo Laplana - Cuenca,Cuenca,"CESPED ARTIFICIAL Árbitro: RODRIGUEZ LOPEZ DE HARO, ROBERTO C.",
777144,Fred Galiana (Piscina) - Quintanar de la Orden,Quintanar de la Orden,"CESPED ARTIFICIAL Árbitro: MARTINEZ LOPEZ, JOSE ANGEL",
1016383,Municipal Ramiro Almendros (anexo 1) / Cabanillas del Campo,Cabanillas del Campo,"CESPED ARTIFICIAL Árbitro: LICITRA DI ROSA, GIANPAOLO",
1566573,Ciudad Deportiva Ebora Formación (Enjoy) - Cazalegas,Talavera de la Reina,"CESPED ARTIFICIAL Árbitro: DIAZ DE MERA ESCUDEROS, PEDRO",
1755673,Campo Municipal Guillermo Díaz - Ugena,Ugena,"CESPED ARTIFICIAL Árbitro: JIMENEZ GOMEZ, MARCOS",
22009747,Complejo Deportivo Layos,Layos,"CESPED ARTIFICIAL Árbitro: LOZANO GOMEZ RECUERO, SANTIAGO",
157,SABIÑANIGO-Joaquín Ascaso,Sabiñánigo,"Hierba Artificial Árbitro: GARCIA SANTIAGO, EDGAR",
50187,José Copete - Albacete,Albacete,"CESPED ARTIFICIAL Árbitro: RUIZ CORREDOR, ALEJANDRO",
308706399,Estadio Luis Suñer Pico F-11 Alzira,Alzira,,
339983617,Ciutat Esptva. Camilo Cano F-11 La Nucia Anexo,la Nucia,,
356967666,Ciutat Esptva. Camilo Cano F-11 La Nucia,la Nucia,,
517954290,Campo Beltran Baguena Buñol F-11,Buñol,,
587403240,Campo La Figuereta F-11 Canet Berenguer,Canet d'en Berenguer,,
641219938,Estadi Mpal. El Clariano F-11 Ontinyent,Ontinyent,,
24,Cubillas - Ramales,Ramales de la Victoria,"Hierba Artificial Árbitro: EZCURRA SÁNCHEZ, UNAI",
29,El Regimiento,Madrid,"Hierba Artificial Árbitro: ERREA GONZÁLEZ, IZAN",
